ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5387.295971    5004.950475     198.300654     184.044842   -5.960483e-003   -8.800100e-003   3.758606e-009   0.000000e+000   2.219038e-009   1.188956e-009   3.506121e-010
 5375.703200    4999.956539     198.827578     176.919083   -1.426205e-003   4.830518e-003   -2.455335e-009   0.000000e+000   -8.295458e-010   -4.455745e-010   -1.180214e-009
 5381.738706    5000.264026     197.380411     184.094269   1.928766e-003   -1.853126e-003   -1.530029e-009   0.000000e+000   -1.264095e-009   1.047139e-010   -3.706478e-010
 5381.477185    5001.929941     195.827596     183.719648   1.749679e-003   -1.566310e-003   -1.301670e-009   0.000000e+000   -1.236001e-009   -6.828759e-010   6.172068e-010
 5387.147675    5000.030733     203.495638     183.621305   6.590866e-005   -8.187820e-003   1.686093e-009   0.000000e+000   2.227310e-009   -8.444979e-010   3.032810e-010
 5378.341462    4996.983648     202.485313     178.872501   -4.451409e-003   1.576705e-003   -2.208816e-009   0.000000e+000   -3.324647e-010   -1.226800e-009   -6.495507e-010
 5378.230370    5003.371871     196.488540     178.369959   -8.603668e-004   1.968426e-003   -1.998438e-009   0.000000e+000   9.549695e-011   -3.697380e-010   -1.724197e-009
 5383.228713    5004.128471     198.088804     181.011437   1.129648e-002   -2.873285e-003   -1.745948e-009   0.000000e+000   1.653751e-009   -2.015425e-009   -1.384274e-009
 5381.516413    4996.817732     204.533290     180.165391   -1.371852e-003   -1.840778e-003   1.537680e-009   0.000000e+000   5.389843e-010   -1.748400e-010   1.173535e-009
 5377.622018    5001.085779     195.565455     180.970783   6.428690e-003   3.203395e-003   -2.250429e-009   0.000000e+000   -1.746702e-009   -6.257842e-010   1.220575e-010
 5373.209365    5000.319727     195.200779     177.688859   -3.401089e-003   7.553206e-003   -3.858299e-009   0.000000e+000   -2.518960e-009   -6.000908e-010   -7.392476e-010
 5376.168341    4997.372444     198.860390     179.935507   -1.328098e-003   4.303086e-003   -1.955690e-009   0.000000e+000   -2.456317e-009   -2.964425e-010   7.970695e-010
 5378.620356    4996.315945     203.784152     178.520259   5.881720e-003   2.016461e-003   1.163997e-009   0.000000e+000   -3.441952e-010   1.538411e-009   -3.021788e-011
 5380.952582    5003.814334     197.827308     179.310940   -1.351612e-002   -2.086800e-003   9.920566e-010   0.000000e+000   1.370340e-009   -1.183752e-009   8.054685e-010
 5383.597629    5003.111137     198.578537     181.907954   -5.398339e-003   -4.523005e-003   3.438140e-009   0.000000e+000   9.709323e-010   1.751696e-009   7.155111e-010
 5379.393351    5000.308381     201.406005     177.678964   -1.005774e-004   6.889466e-004   -2.638678e-010   0.000000e+000   1.098878e-009   -7.593532e-010   -6.033925e-010
 5371.393799    4999.305291     196.038724     176.049784   8.680997e-004   9.957288e-003   -2.461619e-009   0.000000e+000   -2.827423e-009   8.616488e-010   -4.958450e-010
 5379.143603    5002.020761     200.255732     176.867110   2.725580e-003   1.183513e-003   1.176624e-009   0.000000e+000   1.218484e-009   -8.749302e-011   4.563343e-011
 5380.431598    5000.542346     197.902541     181.986712   -6.758022e-004   -5.450046e-004   -5.878470e-010   0.000000e+000   -1.005733e-009   -7.697217e-010   1.187607e-009
 5372.785493    4997.886770     198.105178     176.793544   -2.865143e-003   8.080404e-003   -3.626658e-009   0.000000e+000   -2.535997e-009   -9.604964e-010   -1.301646e-010
 5381.544811    4998.754649     205.181791     177.608371   7.675931e-003   -1.208239e-003   -3.298548e-011   0.000000e+000   2.094272e-009   -8.182639e-010   -1.308994e-009
 5373.584542    5002.850394     196.280480     174.453668   5.334883e-003   7.764708e-003   -7.044706e-010   0.000000e+000   -5.802084e-010   3.416125e-010   -4.658747e-010
 5379.803269    4994.427791     202.734900     182.640578   -1.405869e-002   -8.080037e-004   -2.112016e-009   0.000000e+000   -2.090540e-009   1.016658e-010   -1.231424e-010
 5384.493823    5000.857418     200.523663     183.112741   1.215264e-003   -5.064069e-003   1.151526e-009   0.000000e+000   9.322851e-010   7.713569e-010   -5.521161e-010
 5381.863186    4998.224249     203.350848     180.288089   -5.481703e-003   -2.540622e-003   6.910312e-010   0.000000e+000   8.730466e-010   -1.392555e-009   1.210539e-009
 5380.646467    4999.382947     205.223840     176.039679   8.091633e-003   -1.469505e-004   3.661216e-009   0.000000e+000   2.448747e-009   1.594496e-009   -3.820268e-010
 5381.689029    5000.919209     196.407952     184.361869   -4.842888e-003   -2.293925e-003   -1.069113e-009   0.000000e+000   -1.557441e-009   7.974245e-010   -3.090966e-010
 5382.531812    5003.972172     198.929614     179.630026   2.939816e-003   -2.688380e-003   7.137553e-010   0.000000e+000   1.825601e-009   -4.562603e-010   -6.555856e-010
 5375.999721    5004.099117     195.351343     176.549261   8.554958e-004   4.657578e-003   -1.323869e-009   0.000000e+000   -2.758252e-011   -7.256829e-010   -5.706032e-010
 5379.542522    5005.112806     196.208760     178.220956   7.004356e-003   1.040193e-003   -2.006764e-009   0.000000e+000   1.191260e-009   -1.419725e-009   -1.778299e-009
 5382.326635    5000.018247     204.686860     177.621527   -2.559166e-003   -2.857275e-003   3.054302e-009   0.000000e+000   2.636896e-009   1.593049e-010   2.581009e-010
 5375.259421    4996.673155     203.091330     175.494936   -3.056616e-004   5.423169e-003   -5.097582e-010   0.000000e+000   -6.076293e-010   1.612553e-009   -1.514682e-009
 5375.022016    4999.734094     199.540218     175.747704   -2.278503e-003   5.550935e-003   -3.325851e-010   0.000000e+000   -4.264202e-010   -2.685239e-010   3.623590e-010
 5377.083363    5000.487506     195.856190     180.739666   5.973453e-003   3.788784e-003   -2.633067e-009   0.000000e+000   -1.956767e-009   -5.568629e-010   -1.194367e-010
 5381.217306    5005.018251     197.682958     178.516098   9.210742e-004   -1.329100e-003   1.582555e-009   0.000000e+000   1.704020e-009   8.690682e-010   -9.905328e-010
